STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       4466;2019120507:12;    1;   95.0;    0.0;    0.0;   0;    95.97;2019120508:00;eor
       4466;2019120508:12;    1;   90.0;    5.0;    5.0;   0;    89.01;2019120509:00;eor
       4466;2019120509:12;    1;   90.0;   18.0;   24.0;  34;    83.33;2019120510:00;eor
       4466;2019120510:12;    1;   90.0;   28.0;   46.0;  59;    79.27;2019120511:00;eor
       4466;2019120511:12;    1;   93.0;   37.0;   63.0;  60;    77.15;2019120512:00;eor
       4466;2019120512:12;    1;  116.0;   26.0;   30.0;  10;    77.16;2019120513:00;eor
       4466;2019120513:12;    1;  122.0;   14.0;   14.0;   0;    79.29;2019120514:00;eor
       4466;2019120514:12;    1;  122.0;    9.0;    9.0;   0;    83.35;2019120515:00;eor
       4466;2019120515:12;    1;  122.0;    1.0;    1.0;   0;    89.05;2019120516:00;eor
       4466;2019120516:12;    1;  121.0;    0.0;    0.0;   0;    96.01;2019120517:00;eor
       4466;2019120517:12;    1;  119.0;    0.0;    0.0;   0;   103.89;2019120518:00;eor
       4466;2019120518:12;    1;  120.0;    0.0;    0.0;   0;   112.35;2019120519:00;eor
       4466;2019120519:12;    1;  119.0;    0.0;    0.0;   0;   121.04;2019120520:00;eor
       4466;2019120520:12;    1;  119.0;    0.0;    0.0;   0;   129.57;2019120521:00;eor
       4466;2019120521:12;    1;  119.0;    0.0;    0.0;   0;   137.40;2019120522:00;eor
       4466;2019120522:12;    1;  119.0;    0.0;    0.0;   0;   143.72;2019120523:00;eor
       4466;2019120523:12;    1;  119.0;    0.0;    0.0;   0;   147.40;2019120600:00;eor
       4466;2019120600:12;    1;  119.0;    0.0;    0.0;   0;   147.40;2019120601:00;eor
       4466;2019120601:12;    1;  120.0;    0.0;    0.0;   0;   143.74;2019120602:00;eor
       4466;2019120602:12;    1;  121.0;    0.0;    0.0;   0;   137.42;2019120603:00;eor
       4466;2019120603:12;    1;  122.0;    0.0;    0.0;   0;   129.60;2019120604:00;eor
       4466;2019120604:12;    1;  123.0;    0.0;    0.0;   0;   121.08;2019120605:00;eor
       4466;2019120605:12;    1;  124.0;    0.0;    0.0;   0;   112.39;2019120606:00;eor
       4466;2019120606:12;    1;  124.0;    0.0;    0.0;   0;   103.95;2019120607:00;eor
       4466;2019120607:12;    1;  124.0;    0.0;    0.0;   0;    96.08;2019120608:00;eor
       4466;2019120608:12;    1;  125.0;    1.0;    1.0;   0;    89.12;2019120609:00;eor
       4466;2019120609:12;    1;  125.0;    3.0;    3.0;   0;    83.44;2019120610:00;eor
       4466;2019120610:12;    1;  124.0;    4.0;    4.0;   0;    79.39;2019120611:00;eor
       4466;2019120611:12;    1;  124.0;    8.0;    8.0;   0;    77.28;2019120612:00;eor
       4466;2019120612:12;    1;  123.0;    5.0;    5.0;   0;    77.28;2019120613:00;eor
       4466;2019120613:12;    1;  123.0;    5.0;    5.0;   0;    79.41;2019120614:00;eor
       4466;2019120614:12;    1;  123.0;    3.0;    3.0;   0;    83.47;2019120615:00;eor
       4466;2019120615:12;    1;  123.0;    1.0;    1.0;   0;    89.15;2019120616:00;eor
       4466;2019120616:12;    1;  123.0;    0.0;    0.0;   0;    96.12;2019120617:00;eor
       4466;2019120617:12;    1;  124.0;    0.0;    0.0;   0;   103.99;2019120618:00;eor
       4466;2019120618:12;    1;  124.0;    0.0;    0.0;   0;   112.44;2019120619:00;eor
       4466;2019120619:12;    1;  125.0;    0.0;    0.0;   0;   121.13;2019120620:00;eor
       4466;2019120620:12;    1;  125.0;    0.0;    0.0;   0;   129.67;2019120621:00;eor
